Country,Year,States Or Uts Or Other,Type Of Residence ,"Number Of Persons Below Poverty Line (UOM:Number), Scaling Factor:1000","Percentage Of The Persons Below The Poverty Line (UOM:%(Percentage)), Scaling Factor:1","Poverty Line (UOM:INR(IndianRupees)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 1999",Assam,Urban,238,7.47,343
India,"Financial Year (Apr - Mar), 1999",Assam,Combined,9455,36.09,
India,"Financial Year (Apr - Mar), 1999",Bihar,Rural,37651,44.3,333
India,"Financial Year (Apr - Mar), 1999",Bihar,Urban,4913,32.91,379
India,"Financial Year (Apr - Mar), 1999",Bihar,Combined,42564,42.6,
India,"Financial Year (Apr - Mar), 1999",Chandigarh,Rural,6,5.75,388
India,"Financial Year (Apr - Mar), 1999",Chandigarh,Urban,45,5.75,388
India,"Financial Year (Apr - Mar), 1999",Chandigarh,Combined,51,5.75,
India,"Financial Year (Apr - Mar), 1999",Dadra & Nagar Haveli,Rural,30,17.57,318
India,"Financial Year (Apr - Mar), 1999",Dadra & Nagar Haveli,Urban,3,13.52,539
India,"Financial Year (Apr - Mar), 1999",Dadra & Nagar Haveli,Combined,33,17.14,
India,"Financial Year (Apr - Mar), 1999",Daman & Diu,Rural,1,1.35,318
India,"Financial Year (Apr - Mar), 1999",Daman & Diu,Urban,5,7.52,539
India,"Financial Year (Apr - Mar), 1999",Daman & Diu,Combined,6,4.44,
India,"Financial Year (Apr - Mar), 1999",Delhi,Rural,7,0.4,362
India,"Financial Year (Apr - Mar), 1999",Delhi,Urban,1142,9.42,505
India,"Financial Year (Apr - Mar), 1999",Delhi,Combined,1149,8.23,
India,"Financial Year (Apr - Mar), 1999",Goa,Rural,11,1.35,318
India,"Financial Year (Apr - Mar), 1999",Goa,Urban,59,7.52,539
India,"Financial Year (Apr - Mar), 1999",Goa,Combined,70,4.4,
India,"Financial Year (Apr - Mar), 1999",Gujarat,Rural,3980,13.17,318
India,"Financial Year (Apr - Mar), 1999",Gujarat,Urban,2809,15.59,474
India,"Financial Year (Apr - Mar), 1999",Gujarat,Combined,6789,14.07,
India,"Financial Year (Apr - Mar), 1999",Haryana,Rural,1194,8.27,362
India,"Financial Year (Apr - Mar), 1999",Haryana,Urban,539,9.99,420
India,"Financial Year (Apr - Mar), 1999",Haryana,Combined,1734,8.74,
India,"Financial Year (Apr - Mar), 1999",Himachal Pradesh,Rural,484,7.94,367
India,"Financial Year (Apr - Mar), 1999",Himachal Pradesh,Urban,29,4.63,420
India,"Financial Year (Apr - Mar), 1999",Himachal Pradesh,Combined,512,7.63,
India,"Financial Year (Apr - Mar), 1999",Jammu & Kashmir,Rural,297,3.97,367
India,"Financial Year (Apr - Mar), 1999",Jammu & Kashmir,Urban,49,1.98,420
India,"Financial Year (Apr - Mar), 1999",Jammu & Kashmir,Combined,346,3.48,
India,"Financial Year (Apr - Mar), 1999",Karnataka,Rural,5991,17.38,309
India,"Financial Year (Apr - Mar), 1999",Karnataka,Urban,4449,25.25,511
India,"Financial Year (Apr - Mar), 1999",Karnataka,Combined,10440,20.04,
India,"Financial Year (Apr - Mar), 1999",Kerala,Rural,2097,9.38,374
India,"Financial Year (Apr - Mar), 1999",Kerala,Urban,2007,20.27,477
India,"Financial Year (Apr - Mar), 1999",Kerala,Combined,4104,12.72,
India,"Financial Year (Apr - Mar), 1999",Lakshwadeep,Rural,3,9.38,374
India,"Financial Year (Apr - Mar), 1999",Lakshwadeep,Urban,8,20.27,477
India,"Financial Year (Apr - Mar), 1999",Lakshwadeep,Combined,11,15.6,
India,"Financial Year (Apr - Mar), 1999",Madhya Pradesh,Rural,21732,37.06,311
India,"Financial Year (Apr - Mar), 1999",Madhya Pradesh,Urban,8122,38.44,481
India,"Financial Year (Apr - Mar), 1999",Madhya Pradesh,Combined,29854,37.43,
India,"Financial Year (Apr - Mar), 1999",Maharashtra,Rural,12512,23.72,318
India,"Financial Year (Apr - Mar), 1999",Maharashtra,Urban,10287,26.81,539
India,"Financial Year (Apr - Mar), 1999",Maharashtra,Combined,22799,25.02,
India,"Financial Year (Apr - Mar), 1999",Manipur,Rural,653,40.04,365
India,"Financial Year (Apr - Mar), 1999",Manipur,Urban,66,7.47,343
India,"Financial Year (Apr - Mar), 1999",Manipur,Combined,719,28.54,
India,"Financial Year (Apr - Mar), 1999",Meghalaya,Rural,789,40.04,365
India,"Financial Year (Apr - Mar), 1999",Meghalaya,Urban,34,7.47,343
India,"Financial Year (Apr - Mar), 1999",Meghalaya,Combined,823,33.87,
India,"Financial Year (Apr - Mar), 1999",Mizoram,Rural,140,40.04,365
India,"Financial Year (Apr - Mar), 1999",Mizoram,Urban,45,7.47,343
India,"Financial Year (Apr - Mar), 1999",Mizoram,Combined,185,19.47,
India,"Financial Year (Apr - Mar), 1999",Nagaland,Rural,521,40.04,365
India,"Financial Year (Apr - Mar), 1999",Nagaland,Urban,28,7.47,343
India,"Financial Year (Apr - Mar), 1999",Nagaland,Combined,549,32.67,
India,"Financial Year (Apr - Mar), 1999",Odisha,Rural,14369,48.01,323
India,"Financial Year (Apr - Mar), 1999",Odisha,Urban,2540,42.83,473
India,"Financial Year (Apr - Mar), 1999",Odisha,Combined,16909,47.15,
India,"Financial Year (Apr - Mar), 1999",Puducherry,Rural,64,20.55,307
India,"Financial Year (Apr - Mar), 1999",Puducherry,Urban,177,22.11,475
India,"Financial Year (Apr - Mar), 1999",Puducherry,Combined,241,21.67,
India,"Financial Year (Apr - Mar), 1999",Punjab,Rural,1020,6.35,362
India,"Financial Year (Apr - Mar), 1999",Punjab,Urban,429,5.75,388
India,"Financial Year (Apr - Mar), 1999",Punjab,Combined,1449,6.16,
India,"Financial Year (Apr - Mar), 1999",Rajasthan,Rural,5506,13.74,344
India,"Financial Year (Apr - Mar), 1999",Rajasthan,Urban,2678,19.85,465
India,"Financial Year (Apr - Mar), 1999",Rajasthan,Combined,8183,15.28,
India,"Financial Year (Apr - Mar), 1999",Sikkim,Rural,200,40.04,365
India,"Financial Year (Apr - Mar), 1999",Sikkim,Urban,4,7.47,343
India,"Financial Year (Apr - Mar), 1999",Sikkim,Combined,205,36.55,
India,"Financial Year (Apr - Mar), 1999",Tamil Nadu,Rural,8051,20.55,307
India,"Financial Year (Apr - Mar), 1999",Tamil Nadu,Urban,4997,22.11,475
India,"Financial Year (Apr - Mar), 1999",Tamil Nadu,Combined,13048,21.12,
India,"Financial Year (Apr - Mar), 1999",Tripura,Rural,1253,40.04,365
India,"Financial Year (Apr - Mar), 1999",Tripura,Urban,49,7.47,343
India,"Financial Year (Apr - Mar), 1999",Tripura,Combined,1302,34.44,
India,"Financial Year (Apr - Mar), 1999",Uttar Pradesh,Rural,41201,31.22,336
India,"Financial Year (Apr - Mar), 1999",Uttar Pradesh,Urban,11788,30.89,416
India,"Financial Year (Apr - Mar), 1999",Uttar Pradesh,Combined,52989,31.15,
India,"Financial Year (Apr - Mar), 1999",West Bengal,Rural,18011,31.85,350
India,"Financial Year (Apr - Mar), 1999",West Bengal,Urban,3338,14.86,409
India,"Financial Year (Apr - Mar), 1999",West Bengal,Combined,21349,27.02,
